artikelnr;karpi_code;omschrijving
718210006;ANTU21XX160230;ANTIQUA Kleur 21 CA: 160x230 cm
718210007;ANTU21XX200290;ANTIQUA Kleur 21 CA: 200x290 cm
718320006;ANTU32XX040040;ANTIQUA Kleur 32 CA: 040x040 cm
718320001;ANTU32XX160230;ANTIQUA Kleur 32 CA: 160x230 cm
718320002;ANTU32XX200290;ANTIQUA Kleur 32 CA: 200x290 cm
718320005;ANTU32XX200300;NIET GEBRUIKEN
718350004;ANTU35XX040040;ANTIQUA Kleur 35 CA: 040x040 cm
718350000;ANTU35XX160230;ANTIQUA Kleur 35 CA: 160x230 cm
718350002;ANTU35XX200290;ANTIQUA Kleur 35 CA: 200x290 cm
718350003;ANTU35XX200300;NIET GEBRUIKEN
718430007;ANTU43XX040040;ANTIQUA Kleur 43 CA: 040x040 cm
718430001;ANTU43XX160230;ANTIQUA Kleur 43 CA: 160x230 cm
718430003;ANTU43XX200290;ANTIQUA Kleur 43 CA: 200x290 cm
718430006;ANTU43XX200300;NIET GEBRUIKEN
718450004;ANTU45XX040040;ANTIQUA Kleur 45 CA: 040x040 cm
718450000;ANTU45XX160230;ANTIQUA Kleur 45 CA: 160x230 cm
718450001;ANTU45XX200290;ANTIQUA Kleur 45 CA: 200x290 cm
718450003;ANTU45XX200300;NIET GEBRUIKEN
911100000;ARCT10XX160230;ARCTIC KARTE WHITE 10 CA 160x230 CM TOTAAL HOOGTE 3 CM/KLEUR ARCTIC 11
001911008;ARCT11200JUT;ARCTIC LIFE KLEUR 11 200 BREED
911119999;ARCT11MAATWERK;ARCTIC LIFE 11
911110000;ARCT11XX020020;ARCTIC LIFE KLEUR 11 CA:020x020 cm
911110001;ARCT11XX140200;ARCTIC LIFE Kleur 11 CA: 140x200 cm
911110002;ARCT11XX160230;ARCTIC LIFE Kleur 11 CA: 160x230 cm
001911000;ARCT15200JUT;ARCTIC LIFE BROWN/GREY - Frans Molenaar   FM kleur 15
911159999;ARCT15MAATWERK;
911150004;ARCT15XX020020;ARCTIC LIFE KLEUR 15 CA:020x020 cm
911150000;ARCT15XX140200;ARCTIC LIFE KLEUR 15 CA:140x200 cm
911150001;ARCT15XX160230;ARCTIC LIFE KLEUR 15 CA:160x230 cm
911150002;ARCT15XX200240;ARCTIC LIFE KLEUR 15 CA:200x240 cm
911150003;ARCT15XX200290;ARCTIC LIFE KLEUR 15 CA:200x290 cm
001911001;ARCT17200JUT;ARCTIC LIFE BROWN jute - Frans Molenaar   FM kleur 17
